model,estimate,std_error
1,1,1.05083777724733e-17
2,1,4.30948754105976e-17
3,1,6.83962717472456e-17
1,1,1.64424279510883e-17
2,1,2.00234103717257e-17
3,1,3.00415285982531e-17
1,1,5.36034205878414e-18
2,1,6.80373062007315e-18
3,1,8.97813913615188e-18
1,1,4.27073066326845e-17
2,1,6.52636739094195e-18
3,1,7.44455280671988e-18
1,1,2.55259305008628e-17
2,1,2.79559599830764e-17
3,1,2.78538898675962e-17
1,1,6.0302092878317e-17
2,1,4.51166326668588e-17
3,1,8.17804497294363e-17
1,1,3.80176195859909e-17
2,1,2.07148172708171e-17
3,1,3.61818330808979e-17
1,1,1.24413215585339e-17
2,1,5.2440539917448e-17
3,1,5.77698556764945e-17
1,1,6.7563578870388e-18
2,1,2.05759129205902e-17
3,1,8.27078601001034e-17
1,1,3.08276130796652e-17
2,1,5.61401803883841e-17
3,1,9.59817438786953e-17
1,1,7.3497480660714e-17
2,1,3.60025678239617e-17
3,1,4.33260069290801e-17
1,1,7.67884748147339e-18
2,1,1.55673268990062e-17
3,1,2.30313721647037e-17
1,1,3.75551145449478e-17
2,1,4.75277656981336e-17
3,1,4.73238604943146e-17
1,1,4.59886214909203e-17
2,1,3.01080360622829e-17
3,1,3.11455024799529e-17
1,1,9.75940957175605e-18
2,1,2.89418364267069e-17
3,1,3.06073644526749e-17
1,1,2.10432261199087e-17
2,1,2.10558854391712e-17
3,1,3.14122903786159e-17
1,1,5.64730383997715e-17
2,1,1.97803579492106e-17
3,1,4.22702919907529e-17
1,1,2.03384890633064e-17
2,1,2.7685305258107e-17
3,1,2.75541667270981e-17
1,1,6.91002251558127e-18
2,1,1.65319861494229e-17
